COU,Country,VAR,Variable,Landuse
GIB,Gibraltar,For,Forest % land area,0
GIB,Gibraltar,Oth,Other % land area,100
GIN,Guinea,Ara,Arable and cropland % land area,15.465
GIN,Guinea,For,Forest % land area,25.35
GIN,Guinea,Mea,Meadows and pastures % land area,43.546
GIN,Guinea,Oth,Other % land area,15.64
GLP,Guadeloupe,Ara,Arable and cropland % land area,15.525
GLP,Guadeloupe,For,Forest % land area,44.432
GLP,Guadeloupe,Mea,Meadows and pastures % land area,15.16
GLP,Guadeloupe,Oth,Other % land area,24.883
GMB,Gambia,Ara,Arable and cropland % land area,43.972
GMB,Gambia,For,Forest % land area,24.545
GMB,Gambia,Mea,Meadows and pastures % land area,15.81
GMB,Gambia,Oth,Other % land area,15.672
GNB,Guinea-Bissau,Ara,Arable and cropland % land area,19.559
GNB,Guinea-Bissau,For,Forest % land area,70.713
GNB,Guinea-Bissau,Mea,Meadows and pastures % land area,9.428
GNB,Guinea-Bissau,Oth,Other % land area,0.3
GNQ,Equatorial Guinea,Ara,Arable and cropland % land area,6.417
GNQ,Equatorial Guinea,For,Forest % land area,87.586
GNQ,Equatorial Guinea,Mea,Meadows and pastures % land area,3.708
GNQ,Equatorial Guinea,Oth,Other % land area,2.289
GRC,Greece,Ara,Arable and cropland % land area,24.993
GRC,Greece,For,Forest % land area,30.27
GRC,Greece,Mea,Meadows and pastures % land area,22.358
GRC,Greece,Oth,Other % land area,22.332
GRD,Grenada,Ara,Arable and cropland % land area,20.588
GRD,Grenada,For,Forest % land area,52.059
GRD,Grenada,Mea,Meadows and pastures % land area,2.941
GRD,Grenada,Oth,Other % land area,24.412
GRL,Greenland,For,Forest % land area,0.001
GRL,Greenland,Mea,Meadows and pastures % land area,0.592
GRL,Greenland,Oth,Other % land area,99.407
GTM,Guatemala,Ara,Arable and cropland % land area,19.084
GTM,Guatemala,For,Forest % land area,33.029
GTM,Guatemala,Mea,Meadows and pastures % land area,16.9
GTM,Guatemala,Oth,Other % land area,30.987
GUM,Guam,Ara,Arable and cropland % land area,14.815
GUM,Guam,For,Forest % land area,51.852
GUM,Guam,Mea,Meadows and pastures % land area,14.815
GUM,Guam,Oth,Other % land area,18.519
GUY,Guyana,Ara,Arable and cropland % land area,2.337
GUY,Guyana,For,Forest % land area,93.597
GUY,Guyana,Mea,Meadows and pastures % land area,3.969
GUY,Guyana,Oth,Other % land area,0.098
HND,Honduras,Ara,Arable and cropland % land area,14.264
HND,Honduras,For,Forest % land area,57.022
HND,Honduras,Mea,Meadows and pastures % land area,17.115
HND,Honduras,Oth,Other % land area,11.599
HRV,Croatia,Ara,Arable and cropland % land area,16.028
HRV,Croatia,For,Forest % land area,34.605
HRV,Croatia,Mea,Meadows and pastures % land area,10.846
HRV,Croatia,Oth,Other % land area,36.352
HTI,Haiti,Ara,Arable and cropland % land area,48.984
HTI,Haiti,For,Forest % land area,12.714
HTI,Haiti,Mea,Meadows and pastures % land area,17.779
HTI,Haiti,Oth,Other % land area,20.522
HUN,Hungary,Ara,Arable and cropland % land area,49.178
HUN,Hungary,For,Forest % land area,22.512
HUN,Hungary,Mea,Meadows and pastures % land area,8.657
HUN,Hungary,Oth,Other % land area,17.264
IDN,Indonesia,Ara,Arable and cropland % land area,27.323
IDN,Indonesia,For,Forest % land area,49.394
IDN,Indonesia,Mea,Meadows and pastures % land area,5.859
IDN,Indonesia,Oth,Other % land area,17.424
IND,India,Ara,Arable and cropland % land area,56.948
IND,India,For,Forest % land area,24.181
IND,India,Mea,Meadows and pastures % land area,3.451
IND,India,Oth,Other % land area,15.42
IRL,Ireland,Ara,Arable and cropland % land area,6.445
IRL,Ireland,For,Forest % land area,11.294
IRL,Ireland,Mea,Meadows and pastures % land area,59.225
IRL,Ireland,Oth,Other % land area,23.036
IRN,Iran,Ara,Arable and cropland % land area,10.766
IRN,Iran,For,Forest % land area,6.596
IRN,Iran,Mea,Meadows and pastures % land area,18.098
IRN,Iran,Oth,Other % land area,64.54
IRQ,Iraq,Ara,Arable and cropland % land area,12.093
IRQ,Iraq,For,Forest % land area,1.9
IRQ,Iraq,Mea,Meadows and pastures % land area,9.214
IRQ,Iraq,Oth,Other % land area,76.793
ISL,Iceland,Ara,Arable and cropland % land area,1.2
ISL,Iceland,For,Forest % land area,0.503
ISL,Iceland,Mea,Meadows and pastures % land area,17.366
